False
None
True
and
as
assert
async
await
break
class
continue
def
del
elif
else
except
finally
for
from
global
if
import
in
is
lambda
nonlocal
not
or
pass
raise
return
try
while
with
yield
print
len
type
append
extend
reverse
insert
sort
count
remove
pop
clear
index
copy
list
join
int
inf
abs
aiter
all
anext
any
ascii
bin
bool
breakpoint
bytearray
bytes
callable
chr
classmethod
compile
complex
delattr
dict
dir
divmod
enumerate
eval
exec
filter
float
format
frozenset
getattr
globals
hasattr
hash
help
hex
id
input
int
isinstance
issubclass
iter
locals
map
max
memoryview
min
next
object
oct
open
ord
pow
property
range
repr
reversed
round
set
setattr
slice
sorted
staticmethod
str
sum
super
tuple
vars
zip
random
key
value
iterable
docstring
*args
**kwargs
